sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,40,,良好,0,0.24,39.4,43.6,17,6,2.4,2.6,0.2,5.7,90,"2024-11-26 20:00",,0.1,8.7,27,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,36,,良好,0,0.33,47.7,39.3,26,12,3.8,4.6,0.8,5,33,"2024-11-26 20:00",,0.3,10.8,25,0,121.61575076,23.97709367,312
新北(樹林),新北市,37,,良好,0.3,0.41,29.1,23.6,40,16,19.7,24.6,4.9,0,141,"2024-11-26 20:00",,0.4,11.4,30,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,57,細懸浮微粒,普通,1.4,0.4,39,55.2,86,17,12.5,13.4,0.8,3.2,320,"2024-11-26 20:00",,0.3,17.8,54,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,80,懸浮微粒,普通,1.8,0.39,16.3,37.8,65,16,16.8,17.3,0.4,3.4,12,"2024-11-26 20:00",,0.3,14.5,80,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,73,懸浮微粒,普通,1.8,0.44,20.2,41.4,101,14,16.8,17,0.2,1.4,318,"2024-11-26 20:00",,0.3,9.9,73,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,30,,良好,1.1,0.34,26.8,33.0,22,9,11,12.6,1.6,1.5,355,"2024-11-26 20:00",,0.3,7.8,27,1,120.56373,23.96117,201
大城,彰化縣,40,,良好,1.5,0.25,37.5,42.1,36,16,6.8,7.2,0.4,8.6,47,"2024-11-26 20:00",,0.2,12.2,30,1,120.26964167,23.85493056,85
富貴角,新北市,49,,良好,0.3,0.2,54.8,49.2,55,18,1.6,1.7,0.1,9.1,51,"2024-11-26 20:00",,0.2,14,49,0,121.53656894,25.29681695,84
麥寮,雲林縣,65,懸浮微粒,普通,1.5,0.29,34,40.3,46,19,7.6,8.8,1.1,5.9,3,"2024-11-26 20:00",,0.3,13.3,65,1,120.251825,23.753506,83
關山,臺東縣,34,,良好,0.9,0.31,31.7,33.0,16,5,4.2,4.5,0.3,2.3,32,"2024-11-26 20:00",,0.2,5.2,34,1,121.161933,23.045083,80
