群組,課程類別,課程名稱,老師,進修人數,報名開始日期,報名結束日期,甄試資訊,進修時數,上課時間,課程開始日期,課程結束日期,不上課日期,課程內容,進修費用,報名資格,就業方向,筆試準備範圍
資通訊群組,一般課程,Python視窗網路爬蟲,陳紀彰老師,25人,114.05.16 10:00,114.06.06 17:00,"1. 無須甄試 2. 依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",64小時,"週二、四 08:30~17:05",114.07.08,114.07.31,, "1. 基礎程式語言與資環境設置 2. 視窗框架與版面配置 3. 事件綁定和回呼函式 4. HTML結構與資料爬取 5. 實作互動式資料抓取器",1400元,"年滿15歲以上有電腦操作基礎者","1. Python程式設計 2. Python資料搜集 3. 專案規劃",無
資通訊群組,一般課程,AI協作:數位創作,葉喬欣老師,25人,114.06.06 10:00,114.06.27 17:00,"1. 無須甄試 2. 依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",36小時,"週一 09:20~16:20",114.07.28,114.09.01,, "1.【AI 工具應用】AI 繪圖的基礎創作,探索AI 生成文本、圖像、影像的創作 2.【初探VR】VR體驗",1000元,年滿15歲以上,"1. 行銷 2. 經營自媒體 3. 內容創作者 4. 社群行銷小編 5. 個人工作室",無
資通訊群組,一般課程,數位晶片設計實作,倪同亮老師,25人,114.06.16 10:00,114.07.07 17:00,"1. 無須甄試 2. 依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",56小時,"週六 08:30~17:05",114.08.09,114.09.20,, "1. VHDL開發軟體使用 2. CPLD晶片設計 3. 電腦輔助繪圖設計 4. 數位電路應用實作",1400元,"年滿15歲以上具電腦操作基礎者","可從事擔任數位設計工程師、韌體及IC設計工程師",無
資通訊群組,一般課程,AI辦公室智能應用進階,談應衡老師,25人,114.07.04 10:00,114.07.25 17:00,"1. 無須甄試 2. 依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",40小時,"週六 08:30~17:05",114.09.06,114.10.04,, "1. 電腦軟體應用乙級檢定輔導 2. 辦公室如何應用AI功能與實作",1000元,"年滿15歲以上有電腦操作基礎者","1. 行政 2. 行銷 3. 業務 4. 秘書 5. 活動記錄 6. 個人工作室等",無
資通訊群組,一般課程,AI協作:數位應用,葉喬欣老師,25人,114.08.18 10:00,114.09.08 17:00,"1. 無須甄試 2. 依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",36小時,"週一 09:20~16:20",114.10.13,114.11.17,, "1.【AI工具應用】AI 繪圖的基礎應用,透過AI生成文本、圖像、影像與音樂等,應用在簡報、短影音 2.【多媒體】AI輔助多媒體相關",1000元,年滿15歲以上,"1. 行銷 2. 經營自媒體 3. 內容創作者 4. 社群行銷小編 5. 個人工作室",無
工業技術群組,進階課程,室內配線實務,李彥霆老師,26人,114.07.17 10:00,114.08.14 17:00,"114.08.19(二) 09:00 本學院多功能訓練大樓H302視聽教室",192小時,"週六、週日 08:30~17:05",114.09.21,114.12.28,"10/4、10/5、10/11、10/12、11/02 不上課","1. 屋內電設施之裝置及維護 2. 電工常識",10200元,"1.年滿15歲以上 2.具相關配電基本概念 3.具有室內配線丙級技術士證或乙級技術士報考資格為佳","1. 電機技術人員 2. 電機修護人員 3.室內配線人員","勞動力發展署技能檢定中心編號00700「室內配線一屋內線路裝修」技術士乙、丙級學科測試參考資料"
工業技術群組,進階課程,Rhino 3D珠寶繪圖(進階),朱怡鳳老師,20人,114.09.01 10:00,114.09.29 17:00,"114.10.02(四) 09:00 本學院多功能訓練大樓H302視聽教室",64小時,"週六 08:30~17:05",114.11.08,114.12.27,, "1. 戒指、墜飾、鑽石鑲法等繪圖。 2. 3D列印介紹",1600元,年滿15歲以上,"3D珠寶繪圖人員","TQC+ 商品造型設計認證 Rhino 7學科考題"
工業技術群組,一般課程,蠟雕與手工具製作,朱怡鳳老師,20人,114.05.19 10:00,114.06.10 17:00止,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",96小時,"週二、週四 08:30~17:05",114.07.15,114.08.21,, "1. 蠟雕技法 2.手工具製作",3400元,年滿15歲以上,金工人員,無
工業技術群組,一般課程,琺瑯器物製作,朱怡鳳老師,20人,114.09.08 10:00,114.09.29 17:00,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",128小時,"週三、週五 08:30~17:05",114.11.05,114.12.26,, "1. 鍛敲技法 2.銅器製作 3. 琺瑯燒製技法",5400元,年滿15歲以上,"1. 金屬加工人員 2. 文創工作者",無
服務業群組,一般課程,經典傳統調酒,蘇珮君老師,25人,114.05.13 10:00,114.06.02 17:00,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",80小時,"週一至週五 08:30~17:05",114.07.07,114.07.18,, "1. 認識六大基酒 2. 經典酒款與標準調酒技法 3. 杯飾製作 4. 創意調酒 5. 酒譜設計 6. 品酒與感官訓練",3800元,年滿18歲以上,酒類吧檯人員,無
服務業群組,一般課程,幸福烘焙(以麵包為主),趙利華老師,28人,14.05.13 10:00,114.06.02 17:00,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",96小時,"週二至週四 08:30~17:05",114.07.8,114.07.31,, "1. 歐式麵包 2. 日式麵包 3. 台式麵包 4. 裏油麵包 5. 烘焙材料計算",3600元,年滿15歲以上,可從事烘焙技術相關人員,無
服務業群組,一般課程,魔法數位創藝達人,桂禮玲老師,25人,114.05.13 10:00,114.06.02 17:00,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",42小時,"週二 09:20~16:20",114.07.08,114.08.19,, "1. 數位工具應用介紹 2. 舊照片數位復原術 3. 專屬個性化長輩圖 4. 重要節日e卡設計 5. 短影片零基礎設計 6. 生活儀式小物創作",1100元,"年滿15歲以上・具備基本電腦操作基礎。", "1. 行政人員 2. 業務人員 3. 行銷人員 4. 主管秘書",無
服務業群組,一般課程,品牌視覺設計:從概念到實現,葉慶貞老師,25人,114.05.13 10:00,114.06.02 17:00,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",168小時,"週二至週四 08:30~17:05",114.07.08,114.08.21,, "1. 品牌色彩與配色 2. 商品形象攝影 3. AI 智能文案創作 4. 文字視覺轉化 5. 影音剪輯 6. 品牌識別設計",4500元,"年滿15歲以上有電腦操作基礎者","1. 品牌視覺設計人員 2. 美術編輯人員 3. 品牌企劃人員",無
服務業群組,一般課程,蝶彩生活~蝶谷巴特創作,桂禮玲老師,25人,114.05.13 10:00,114.06.02 17:00,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",42小時,"週四 09:20~16:20",114.07.10,114.08.21,, "蝶谷巴特技法介紹 蝶谷巴特實作教學 1. 生活收納品 2. 生活隨身物 3. 居家裝飾小物 4. 廢物再生改造",1500元,年滿15歲以上,"1. 文創商品設計 2. 個人工作室",無
服務業群組,一般課程,綠力學堂-打造專屬自己的微森林,黃鈺婷老師,25人,114.05.13 10:00,114.06.02 17:00,"1.無須甄試 2.依臺北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",30小時,"週五 09:00~16:20",114.07.11,114.08.08,, "1. 綠手指入門:園藝植物的認識、體驗、栽培到應用 2. 陽光不打烊:掌握植物燈,打造室內植栽的綠意奇蹟",1400元,年滿15歲以上,"1. 園藝療癒活動帶領 2. 文創商品設計 3. 個人文創工作室 4. 綠植商品設計與銷售 5. 植物風格師",無
