車站代號,車站中文名稱,車站英文名稱
1001,基隆,Keelung
1002,八堵,Badu
1003,七堵,Cidu
1004,五堵,Wudu
1005,汐止,Sijhih
1006,南港,Nangang
1007,松山,Songshan
1008,台北,Taipei
1009,萬華,Wanhua
1011,板橋,Banciao
1032,浮洲,Fuzhou
1012,樹林,Shulin
1013,山佳,Shanjia
1014,鶯歌,Yingge
1015,桃園,Taoyuan
1016,內壢,Neili
1017,中壢,Jhongli
1018,埔心,Pusin
1019,楊梅,Yangmei
1020,富岡,Fugang
1021,湖口,Hukou
1022,新豐,Sinfong
1023,竹北,Jhubei
1024,北新竹,"North Hsinchu"
1025,新竹,Hsinchu
1026,香山,Siangshan
1027,崎頂,Ciding
1028,竹南,Jhunan
1029,三坑,Sankeng
1030,百福,na
1031,汐科,na
1034,南樹林,"South Shulin"
1102,談文,Tanwan
1103,談文南,Tanwannan
1104,大山,Dashan
1105,後龍,Houlong
1106,龍港,Longgang
1107,白沙屯,Baishatun
1108,新埔,Sinpu
1109,通霄,Tongsiao
1110,苑裡,Yuanli
1111,日南,Rihnan
1112,大甲,Dajia
1113,台中港,"Taichung Port"
1114,清水,Cingshuei
1115,沙鹿,Shalu
1116,龍井,Longjing
1117,大肚,Dadu
1118,追分,Jhuifen
1119,大肚溪南,na
1120,彰化,Changhua
1202,花壇,Huatan
1203,員林,Yuanlin
1204,永靖,Yongjing
1205,社頭,Shetou
1206,田中,Tianjhong
1207,二水,Ershuei
1208,林內,Linnei
1209,石榴,Shihliou
1210,斗六,Douliou
1211,斗南,Dounan
1212,石龜,Shihguei
1213,大林,Dalin
1214,民雄,Minsyong
1215,嘉義,Chiayi
1217,水上,Shueishang
1218,南靖,Nanjing
1219,後壁,Houbi
1220,新營,Sinying
1221,柳營,Liouying
1222,林鳳營,Linfongying
1223,隆田,Longtian
1224,拔林,Balin
1225,善化,Shanhua
1226,新市,Sinshih
1227,永康,Yongkang
1228,台南,Tainan
1229,保安,Baoan
1230,中洲,Jhongjhou
1231,大湖,Dahu
1232,路竹,Lujhu
1233,岡山,Gangshan
1234,橋頭,Ciaotou
1235,楠梓,Nanzih
1236,左營,Zuoying
1237,鼓山,Gushan
1238,高雄,Kaohsiung
1239,大橋,Daciao
1240,大村,Datsun
1241,嘉北,ChiaPei
1242,新左營,na
1302,造橋,Zaociao
1304,豐富,Fongfu
1305,苗栗,Miaoli
1307,南勢,Nanshih
1308,銅鑼,Tongluo
1310,三義,Sanyi
1314,泰安,Taian
1315,后里,Houli
1317,豐原,Fongyuan
1318,潭子,Tanzih
1319,台中,Taichung
1320,烏日,Wurih
1321,成功,Chenggong
1322,大慶,Dacing
1323,太原,Taiyuan
1324,新烏日,na
1402,鳳山,Fongshan
1403,後庄,Houjhuang
1404,九曲堂,Jioucyutang
1405,六塊厝,Lioukuaicuo
1406,屏東,Pingtung
1407,歸來,Gueilai
1408,麟洛,Linluo
1409,西勢,Sishih
1410,竹田,Jhutian
1411,潮州,Chaojhou
1412,崁頂,Kanding
1413,南州,Nanjhou
1414,鎮安,Jhenan
1415,林邊,Linbian
1416,佳冬,Jiadong
1417,東海,Donghai
1418,枋寮,Fangliao
1502,加祿,Jialu
1503,內獅,Neishih
1504,枋山,Fangshan
1505,枋野,Fangye
1506,中央,na
1507,古莊,Gujhuang
1508,大武,Dawu
1510,瀧溪,Lunghsi
1511,多良,na
1512,金崙,Jinlun
1514,太麻里,Taimali
1516,知本,Jhihben
1517,康樂,Kangle
1602,吉安,Jian
1604,志學,Jhihsyue
1605,平和,Pinghe
1606,壽豐,Shoufong
1607,豐田,Fongtian
1608,溪口,Sikou
1609,南平,Nanping
1610,鳳林,Fonglin
1611,萬榮,Wanrong
1612,光復,Guangfu
1613,大富,Dafu
1614,富源,Fuyuan
1616,瑞穗,Rueisuei
1617,三民,Sanmin
1619,玉里,Yuli
1620,安通,Antung
1621,東里,Dongli
1622,東竹,Dongjhu
1623,富里,Fuli
1624,池上,Chihshang
1625,海端,Haiduan
1626,關山,Guanshan
1627,月美,Yuemei
1628,瑞和,Rueihe
1629,瑞源,Rueiyuan
1630,鹿野,Luye
1631,山里,Shanli
1632,台東,Taitung
1633,馬(廢)蘭,na
1634,台(廢)東,na
1635,舞鶴,Wuhe
1703,永樂,Yongle
1704,東澳,Dongao
1705,南澳,Nanao
1706,武塔,Wuta
1708,漢本,Hanben
1709,和平,Heping
1710,和仁,Horen
1711,崇德,Chongde
1712,新城,Sincheng
1713,景美,Jingmei
1714,北埔,Beipu
1715,花蓮,Hualien
1802,暖暖,Nuannuan
1803,四腳亭,Sihjiaoting
1804,瑞芳,Rueifang
1805,侯硐,Houtung
1806,三貂嶺,Sandiaoling
1807,牡丹,Mudan
1808,雙溪,Shuangsi
1809,貢寮,Gungliao
1810,福隆,Fulong
1811,石城,Shihcheng
1812,大里,Dali
1813,大溪,Dasi
1814,龜山,Gueishan
1815,外澳,Waiao
1816,頭城,Toucheng
1817,頂埔,Dingpu
1818,礁溪,Jiaohsi
1819,四城,Sihcheng
1820,宜蘭,Yilan
1821,二結,Erjie
1822,中里,Jhongli
1823,羅東,Luodong
1824,冬山,Dongshan
1825,新馬,Sinma
1826,蘇澳新,Suaosin
1827,蘇澳,Suao
1903,大華,Dahua
1904,十分,Shihfen
1905,望古,Wanggu
1906,嶺腳,Lingjiao
1907,平溪,Pingsi
1908,菁桐,Jingtong
2002,深澳,na
2102,五福,na
2103,林口,Linkou
2104,電廠,na
2105,桃中,na
2106,寶山,na
2107,南祥,na
2108,長興,Hengshan
2109,海山站,na
2110,海湖站,na
2212,千甲,Qianjia
2213,新莊,Xinzhuang
2203,竹中,Jhujhong
2214,六家,Liujia
2204,上員,Shangyuan
2205,竹東,Jhudong
2206,橫山,Hengshan
2207,九讚頭,jiouzantou
2208,合興,Hesing
2209,富貴,Fuguei
2210,內灣,Neiwan
2211,榮華,Ronghua
2302,台中港貨,"Taichung Port"
2402,龍井煤場,Longjing
2502,神岡,Shangang
2702,源泉,Yuanciyuan
2703,濁水,Jhuoshuei
2704,龍泉,Lungcyuan
2705,集集,Jiji
2706,水里,Shueili
2707,車埕,Checheng
2802,南調,Nandiao
2902,高雄港,"Kaohsiung Port"
3102,前鎮,na
3202,花蓮港,"hualien Port"
3302,中興一號,na
3402,中興二號,na
3902,機廠,na
4102,樹調,ShuDiao
4202,東港支線,na
4302,東南支線,na
1244,南科,Nanke
5101,長榮大學,"Chang Jung Christian University"
5102,沙崙,Shalun
1033,北湖,BaiHwu
6103,海科館,na
1243,仁德,Rende
