stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
0900,基隆,Keelung,基隆,Keelung,基隆市中山區民治里1鄰中山一路16之 1號,"No. 16-1, Zhongshan 1st Rd, Zhongshan Dist., Keelung City",02-24263743,25.13411 121.73997,Y
0910,三坑,Sankeng,三坑,Sankeng,基隆市仁愛區德厚里龍安街 206 號,"No. 206, Long’an St., Ren`ai Dist., Keelung City",02-24230289,25.12305 121.74202,Y
0920,八堵,Badu,八堵,Badu,基隆市暖暖區八南里八堵路 142 號,"No. 142, Badu Rd., Nuannuan Dist., Keelung City",02-24560841,25.10843 121.72898,Y
0930,七堵,Qidu,七堵,Qidu,基隆市七堵區長興里東新街 2 號,"No. 2, Dongxin St., Qidu Dist., Keelung City",02-24553426,25.09294 121.71415,Y
0940,百福,Baifu,百福,Baifu,基隆市七堵區堵南里明德三路 1 之 1 號,"No. 1-1, Mingde 3rd Rd., Qidu Dist., Keelung City",02-24528372,25.07803 121.69373,N
0950,五堵,Wudu,五堵,Wudu,新北市汐止區長安里長安路 17 號,"No. 17, Chang’an Rd., Xizhi Dist., New Taipei City",02-86476200,25.07784 121.66764,Y
0960,汐止,Xizhi,汐止,Xizhi,新北市汐止區信望里信義路 1 號,"No. 1, Xinyi Rd., Xizhi Dist., New Taipei City",02-26415096,25.06894 121.66244,Y
0970,汐科,Xike,汐科,Xike,新北市汐止區大同里大同路二段 182 號,"No. 182, Sec. 2, Datong Rd., Xizhi Dist., New Taipei City",02-26499817#8730,25.06261 121.64659,N
0980,南港,Nangang,南港,Nangang,臺北市南港區南港里南港路一段 313 號,"No. 313, Sec. 1, Nangang Rd., Nangang Dist., Taipei City",02-27838645,25.05348 121.60706,Y
0990,松山,Songshan,松山,Songshan,臺北市信義區永吉里松山路 11 號B1,"No. 11, Songshan Rd., Xinyi Dist., Taipei City",02-27673819,25.04936 121.57807,Y
1000,臺北,Taipei,臺北,Taipei,臺北市中正區黎明里北平西路 3 號,"No. 3, Beiping W. Rd., Zhongzheng Dist., Taipei City",02-23713558,25.04771 121.51784,N
1001,臺北-環島,Taipei Surround Island,臺北-環島,Taipei Surround Island,臺北市中正區,", Zhongzheng Dist., Taipei City",,25.04811 121.51793,N
1010,萬華,Wanhua,萬華,Wanhua,臺北市萬華區富福里康定路 382 號,"No. 382, Kangding Rd., Wanhua Dist., Taipei City",02-23020481,25.03348 121.49984,Y
1020,板橋,Banqiao,板橋,Banqiao,新北市板橋區新民里縣民大道二段 7 號　,"No. 7, Sec. 2, Xianmin Blvd., Banqiao Dist., New Taipei City",02-89691036,25.01404 121.46403,Y
1030,浮洲,Fuzhou,浮洲,Fuzhou,新北市板橋區僑中里僑中二街 156 號,"No. 156, Qiaozhong 2nd St., Banqiao Dist., New Taipei City",02-23815226#4665,25.00419 121.44477,N
